,商品名称,商品编号,商品毛重,商品产地,电源尺寸,接线类型,电源功率,适用场景,转换效率,型号,输入电压,支持温控,额定功率,产品尺寸（mm）,产品净重（kg）,6pin PCI-E接口,峰值,支持宽幅,安全认证,质保期,店铺,风扇启停,品牌,类型,风扇,SATA接口数量,CPU 12V供电接口,D型4pin接口,8pin PCI-E接口,主电源接口,PFC,电源线长,货号
147,美商海盗船RMX7502018款,6757755,3.28kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,金牌（90%）,RM750X2018款,100-240V,支持温控,750W,160*150*86,1.659,4个,750W,支持宽幅,CCC认证,10年,,支持风扇启停,海盗船CORSAIR,ATX电源,13.5cm,9个,2个,8个,4个,20+4pin,主动式PFC,610mm,CP-9020179-CN
148,爱国者爱国者（aigo）额定800W电竞800全模组电源,5119630,2.455kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,金牌（90%）,电竞800全模组镀锡线,100-240Vac,支持温控,800w,160*150*86mm,2.06KG,,850W,支持宽幅,CCC认证,5年,,不支持风扇启停,爱国者Aigo,,14cm,6个,2个,4个,4个,20+4pin,主动式PFC,1.5m,
149,SUPERFLOWERLEADEXT1600W,1861917,6.34kg,中国大陆,标准电源（ATX）,全模组化,900W以上,大型游戏/电竞，矿机,钛金牌（94%）,LEADEXT1600W,100~240V,支持温控,,,净重4kg,,,支持宽幅,CCC认证；FCC认证；CE认证；cTUVus认证；TUV认证；BSMI认证；CB认证；RoHS认证,10年,,支持风扇启停,振华SUPERFLOWER,ATX电源,14cm,6个,2个,5个,9个,20+4pin,主动式PFC,支持走背线,
150,航嘉（Huntkey）GXPRO系列,71474538063,2.1kg,中国大陆,标准电源（ATX）,非模组化,501W-700W,大型游戏/电竞，一般家用/办公,铜牌（85%）,GXPRO,180-264V,支持温控,700W,150*86*140,2.1,2个,,支持宽幅,CCC认证,3年,航嘉（Huntkey）旗舰店,不支持风扇启停,航嘉HuntKey,ATX电源,12cm,4个,4个,2个,2个,20+4pin,主动式PFC,1.5米,GXPRO系列
151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,美商海盗船（USCORSAIR）VS450VS550VS600台式机静音主机ATX电源VS450下单升级VS500,32969759848,1.5kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,白牌（80%）,VS450、VS550、VS600、VS650、,100V-240V,支持温控,550W,140*150*88mm,2KG,2个,,支持宽幅,CCC认证,3年,灵竞DIY旗舰店,不支持风扇启停,海盗船CORSAIR,ATX电源,12cm,6个,1个,2个,2个,20+4pin,主动式PFC,600mm,
153,SUPERFLOWERLEADEXHG850W,100008302460,2.84kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞，一般家用/办公,金牌（90%）,LEADEXIIIHG850W,100-240V,支持温控,850W,长160mm；宽150mm；高86mm,净重1.8kg,,,支持宽幅,CCC认证；FCC认证；CE认证；TUV认证；EAC认证；KC认证；CB认证；RoHS认证,10年,,支持风扇启停,振华SUPERFLOWER,ATX电源,13cm,9个,2个,4个,6个,20+4pin,主动式PFC,支持走背线,
154,安钛克（Antec）阿瑞斯AP500,10021494771879,1.93kg,,标准电源（ATX）,非模组化,501W-700W,大型游戏/电竞，一般家用/办公,金牌（90%）,阿瑞斯AP500,100V-240V,支持温控,500W,150X85X140mm,2.5,,,支持宽幅,CCC认证,3年,晨惠电脑配件专营店,,安钛克Antec,ATX电源,12cm,3个,,2个,2个,20+4pin,主动式PFC,1.5m,
155,航嘉MVPK750,6093991,2.75kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,金牌（90%）,MVPK750,90-264V,支持温控,750W,150*86*150mm,2.7KG,3个,850W,支持宽幅,CCC认证,3年,,不支持风扇启停,航嘉HuntKey,ATX电源,,4个,,3个,,,主动式PFC,1.5m,6.95E+12
156,鑫谷GP600G黑金电源,984222,2.05kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,金牌（90%）,GP600G黑金,100-240V,支持温控,500W,150*86*140mm,2.3KG,,600W,支持宽幅,CCC认证,5年,,,鑫谷Segotep,ATX电源,12cm,5个,1个,3个,2个,20+4pin,主动式PFC,主板（20+4）PIN长550mm，CPU（4+4）PIN长600mm，支持全塔背线,
157,爱国者爱国者（aigo）额定800W电竞800全模组电源,5119630,2.455kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,金牌（90%）,电竞800全模组镀锡线,100-240Vac,支持温控,800w,160*150*86mm,2.06KG,,850W,支持宽幅,CCC认证,5年,,不支持风扇启停,爱国者Aigo,,14cm,6个,2个,4个,4个,20+4pin,主动式PFC,1.5m,
158,SUPERFLOWERLEADEXT1600W,1861917,6.34kg,中国大陆,标准电源（ATX）,全模组化,900W以上,大型游戏/电竞，矿机,钛金牌（94%）,LEADEXT1600W,100~240V,支持温控,,,净重4kg,,,支持宽幅,CCC认证；FCC认证；CE认证；cTUVus认证；TUV认证；BSMI认证；CB认证；RoHS认证,10年,,支持风扇启停,振华SUPERFLOWER,ATX电源,14cm,6个,2个,5个,9个,20+4pin,主动式PFC,支持走背线,
159,SUPERFLOWERLEADEXT1600W,1861917,6.34kg,中国大陆,标准电源（ATX）,全模组化,900W以上,大型游戏/电竞，矿机,钛金牌（94%）,LEADEXT1600W,100~240V,支持温控,,,净重4kg,,,支持宽幅,CCC认证；FCC认证；CE认证；cTUVus认证；TUV认证；BSMI认证；CB认证；RoHS认证,10年,,支持风扇启停,振华SUPERFLOWER,ATX电源,14cm,6个,2个,5个,9个,20+4pin,主动式PFC,支持走背线,
160,安钛克（Antec）阿瑞斯AP500,10021494771879,1.93kg,,标准电源（ATX）,非模组化,501W-700W,大型游戏/电竞，一般家用/办公,金牌（90%）,阿瑞斯AP500,100V-240V,支持温控,500W,150X85X140mm,2.5,,,支持宽幅,CCC认证,3年,晨惠电脑配件专营店,,安钛克Antec,ATX电源,12cm,3个,,2个,2个,20+4pin,主动式PFC,1.5m,
161,华硕（ASUS）雷神850,10026485698463,4.08kg,,标准电源（ATX）,全模组化,900W以上,,白金牌（92%）,,100-240Vac,支持温控,,,2.85,,,支持宽幅,CCC认证,3年,华硕瑞达腾飞专卖店,,,,,,,,,,,,
162,鑫谷GP700G黑金电源,1033531,2.3kg,中国大陆,标准电源（ATX）,非模组化,501W-700W,大型游戏/电竞，一般家用/办公,金牌（90%）,鑫谷GP700G黑金版电源,100-240V,支持温控,600W,140*150*85mm,2.3KG,,700W,支持宽幅,CCC认证,5年,,,鑫谷Segotep,ATX电源,12cm,6个,2个,5个,2个,20+4pin,主动式PFC,主板（20+4）PIN长550mm，CPU（4+4）PIN长600mm，支持全塔背线,
163,美商海盗船（USCORSAIR）HX1000,10034457024318,1.5kg,,标准电源（ATX）,全模组化,900W以上,,白金牌（92%）,HX1000/HX1200,100-240V,支持温控,,长150mm；宽180mm；高86mm,2kg,,,支持宽幅,CCC认证,10年,爵扬旗舰店,支持风扇启停,海盗船CORSAIR,ATX电源,13.5cm,,,,,,,,
164,航嘉MVPK750,6093991,2.75kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,金牌（90%）,MVPK750,90-264V,支持温控,750W,150*86*150mm,2.7KG,3个,850W,支持宽幅,CCC认证,3年,,不支持风扇启停,航嘉HuntKey,ATX电源,,4个,,3个,,,主动式PFC,1.5m,6.95E+12
165,,72034260384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,长城100011820378,100009419391,20.0kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，机箱电源套装,其他,hope6000ds,100-240V,支持温控,500W,150X140X86,1.845kg,,600W,支持宽幅,CCC认证,1年,,不支持风扇启停,长城GreatWall,ATX电源,12cm,5个,1个,3个,2个,20+4pin,主动式PFC,1.5m,
167,航嘉MVPK750,6093991,2.75kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,金牌（90%）,MVPK750,90-264V,支持温控,750W,150*86*150mm,2.7KG,3个,850W,支持宽幅,CCC认证,3年,,不支持风扇启停,航嘉HuntKey,ATX电源,,4个,,3个,,,主动式PFC,1.5m,6.95E+12
168,先马金牌500W,1231200,2.28kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞,金牌（90%）,金牌500W,100-240V,支持温控,500W,产品尺寸：157.5（长）*150（宽）*85.5（高）mm,净重：约1.84kg,,,支持宽幅,CCC认证,3年,,,先马SAMA,ATX电源,12cm,4个,,2个,2个,20+4pin,主动式PFC,,
169,撒哈拉SAHARA海盗690V电源台式机电脑主机静音宽幅额定500w3年质保非模支持背线,71269500965,1.5kg,,标准电源（ATX）,非模组化,301-500W,,其他,,220V,支持温控,,,1.68,,,支持宽幅,CCC认证,3年,伟杰永安电脑配件专营店,,,,,,,,,,,,
170,华硕（ASUS）雷神850,10026485698462,4.08kg,,标准电源（ATX）,全模组化,900W以上,,白金牌（92%）,,100-240Vac,支持温控,,,2.85,,,支持宽幅,CCC认证,3年,华硕瑞达腾飞专卖店,,,,,,,,,,,,
171,,72034260384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,华硕（ASUS）雷神850,10026485698463,4.08kg,,标准电源（ATX）,全模组化,900W以上,,白金牌（92%）,,100-240Vac,支持温控,,,2.85,,,支持宽幅,CCC认证,3年,华硕瑞达腾飞专卖店,,,,,,,,,,,,
173,航嘉WD500K,100004925348,1.98kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,金牌（90%）,WD500K,90-264V,支持温控,500W,150x86x140mm,1.585KG,1个,600W,支持宽幅,CCC认证,3年,,不支持风扇启停,,,12cm,,,,,,主动式PFC,1.5m,6.95E+12
174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,金河田额定500W电源龙霸500W,1074391,1.74kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,其他,额定500W龙霸500电源,220V,支持温控,500W,,1.74kg,1个,600W,支持宽幅,CCC认证,3年,,不支持风扇启停,金河田Goldenfield,ATX电源,12cm,4个,2个,2个,1个,20+4pin,主动式PFC,120cm,
176,鑫谷GP600G黑金电源,984222,2.05kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,金牌（90%）,GP600G黑金,100-240V,支持温控,500W,150*86*140mm,2.3KG,,600W,支持宽幅,CCC认证,5年,,,鑫谷Segotep,ATX电源,12cm,5个,1个,3个,2个,20+4pin,主动式PFC,主板（20+4）PIN长550mm，CPU（4+4）PIN长600mm，支持全塔背线,
177,爱国者黑暗骑士600DK,732376,1.64kg,中国大陆,标准电源（ATX）,非模组化,301-500W,一般家用/办公,其他,黑暗骑士600DK,200-240V,支持温控,450W,150*140*86MM,2.2KG,1个,550W,支持宽幅,CCC认证,3年,,不支持风扇启停,爱国者Aigo,,12cm,6个,1个,2个,,20+4pin,主动式PFC,1500MM,
178,,100024732788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,美商海盗船（USCORSAIR）VS450VS550VS600台式机静音主机ATX电源VS450下单升级VS500,32969759848,1.5kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,白牌（80%）,VS450、VS550、VS600、VS650、,100V-240V,支持温控,550W,140*150*88mm,2KG,2个,,支持宽幅,CCC认证,3年,灵竞DIY旗舰店,不支持风扇启停,海盗船CORSAIR,ATX电源,12cm,6个,1个,2个,2个,20+4pin,主动式PFC,600mm,
180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,,7555481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,全汉（FSP）蓝暴炫动Ⅱ400W,10027156339784,1.77kg,,标准电源（ATX）,非模组化,501W-700W,大型游戏/电竞，一般家用/办公,白牌（80%）,,200-240V,支持温控,,,1.86,,,支持宽幅,CCC认证,3年,和煦电脑DIY专营店,,全汉FSP,,,,,,,,,,
184,先马破坏神550,1260411,2.04kg,中国大陆,标准电源（ATX）,非模组化,301-500W,一般家用/办公,其他,破坏神550,170V-250V,支持温控,400W,产品尺寸：157.5*150*85.5mm（长*宽*高）,*,,,支持宽幅,CCC认证,3年,,,先马SAMA,ATX电源,12cm,4个,1个,3个,2个,20+4pin,被动式PFC,,
185,,65198174246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,游戏悍将红警RPO500,756290,1.61kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞,其他,红警RPO500,200-240V,支持温控,500W,(L)165mm*(W)150mm*(H)86mm,净重1.49kg;毛重1.64kg,2个,650W,支持宽幅,CCC认证,3年,,,游戏悍将GameDemon,ATX电源,12cm,4个,2个,2个,2个,20+4pin,主动式PFC,20+4pin线长600mm；4+4pin线长600mm,
187,航嘉冷静王蓝钻版白牌,100002857440,1.8kg,中国大陆,标准电源（ATX）,非模组化,301-500W,一般家用/办公,白牌（80%）,冷静王蓝钻版,185-264（V）,支持温控,400W,,1.46kg,,500W,支持宽幅,CCC认证,3年,,,,,,,,,,,,1.5m,6.95E+12
188,鑫谷GP600G黑金电源,984222,2.05kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,金牌（90%）,GP600G黑金,100-240V,支持温控,500W,150*86*140mm,2.3KG,,600W,支持宽幅,CCC认证,5年,,,鑫谷Segotep,ATX电源,12cm,5个,1个,3个,2个,20+4pin,主动式PFC,主板（20+4）PIN长550mm，CPU（4+4）PIN长600mm，支持全塔背线,
189,,100013062533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,长城100011820378,100009419391,20.0kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，机箱电源套装,其他,hope6000ds,100-240V,支持温控,500W,150X140X86,1.845kg,,600W,支持宽幅,CCC认证,1年,,不支持风扇启停,长城GreatWall,ATX电源,12cm,5个,1个,3个,2个,20+4pin,主动式PFC,1.5m,
191,先马金牌500W,1231200,2.28kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞,金牌（90%）,金牌500W,100-240V,支持温控,500W,,净重：约1.84kg,,,支持宽幅,CCC认证,3年,,,先马SAMA,ATX电源,12cm,4个,,2个,2个,20+4pin,主动式PFC,,
192,安钛克(Antec)BP系列台式机电源BP500P额定500W三年换新,35702575428,1.5kg,,标准电源（ATX）,,301-500W,,其他,,180-264V,支持温控,,,1.5,,,支持宽幅,CCC认证,3年,恒懿电脑专营店,,,,,,,,,,,,
193,,11790182703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,鑫谷GP600G黑金电源,984222,2.05kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,金牌（90%）,GP600G黑金,100-240V,支持温控,500W,150*86*140mm,2.3KG,,600W,支持宽幅,CCC认证,5年,,,鑫谷Segotep,ATX电源,12cm,5个,1个,3个,2个,20+4pin,主动式PFC,主板（20+4）PIN长550mm，CPU（4+4）PIN长600mm，支持全塔背线,
195,航嘉（Huntkey）GXPRO系列,71474538063,2.1kg,中国大陆,标准电源（ATX）,非模组化,501W-700W,大型游戏/电竞，一般家用/办公,铜牌（85%）,GXPRO,180-264V,支持温控,700W,150*86*140,2.1,2个,,支持宽幅,CCC认证,3年,航嘉（Huntkey）旗舰店,不支持风扇启停,航嘉HuntKey,ATX电源,12cm,4个,4个,2个,2个,20+4pin,主动式PFC,1.5米,GXPRO系列
196,航嘉WD500K,100004925348,1.98kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,金牌（90%）,WD500K,90-264V,支持温控,500W,150x86x140mm,1.585KG,1个,600W,支持宽幅,CCC认证,3年,,不支持风扇启停,,,12cm,,,,,,主动式PFC,1.5m,6.95E+12
197,长城100011820378,100009419391,20.0kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，机箱电源套装,其他,hope6000ds,100-240V,支持温控,500W,150X140X86,1.845kg,,600W,支持宽幅,CCC认证,1年,,不支持风扇启停,长城GreatWall,ATX电源,12cm,5个,1个,3个,2个,20+4pin,主动式PFC,1.5m,
198,先马金牌500W,1231200,2.28kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞,金牌（90%）,金牌500W,100-240V,支持温控,500W,,净重：约1.84kg,,,支持宽幅,CCC认证,3年,,,先马SAMA,ATX电源,12cm,4个,,2个,2个,20+4pin,主动式PFC,,
199,鑫谷GP600G黑金电源,984222,2.05kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,金牌（90%）,GP600G黑金,100-240V,支持温控,500W,150*86*140mm,2.3KG,,600W,支持宽幅,CCC认证,5年,,,鑫谷Segotep,ATX电源,12cm,5个,1个,3个,2个,20+4pin,主动式PFC,主板（20+4）PIN长550mm，CPU（4+4）PIN长600mm，支持全塔背线,
200,鑫谷GP850G全模爱国版电源,100005689487,2.39kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,金牌（90%）,GP850G全模爱国版电源,100-240V,支持温控,750W,160*150*85mm,2.4KG,,850W,支持宽幅,CCC认证,5年,,,鑫谷Segotep,ATX电源,14cm,8个,2个,6个,4个,24pin,主动式PFC,主板（20+4）PIN长550mm，CPU（4+4）PIN长700mm，手工测量，如有误差请以实物为准,
201,长城100011820378,100009419391,20.0kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，机箱电源套装,其他,hope6000ds,100-240V,支持温控,500W,150X140X86,1.845kg,,600W,支持宽幅,CCC认证,1年,,不支持风扇启停,长城GreatWall,ATX电源,12cm,5个,1个,3个,2个,20+4pin,主动式PFC,1.5m,
202,先马金牌500W,1231200,2.28kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞,金牌（90%）,金牌500W,100-240V,支持温控,500W,,净重：约1.84kg,,,支持宽幅,CCC认证,3年,,,先马SAMA,ATX电源,12cm,4个,,2个,2个,20+4pin,主动式PFC,,
203,,10020925151518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,长城100011820378,100009419391,20.0kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，机箱电源套装,其他,hope6000ds,100-240V,支持温控,500W,150X140X86,1.845kg,,600W,支持宽幅,CCC认证,1年,,不支持风扇启停,长城GreatWall,ATX电源,12cm,5个,1个,3个,2个,20+4pin,主动式PFC,1.5m,
205,鑫谷GP700G黑金电源,1033531,2.3kg,中国大陆,标准电源（ATX）,非模组化,501W-700W,大型游戏/电竞，一般家用/办公,金牌（90%）,鑫谷GP700G黑金版电源,100-240V,支持温控,600W,140*150*85mm,2.3KG,,700W,支持宽幅,CCC认证,5年,,,鑫谷Segotep,ATX电源,12cm,6个,2个,5个,2个,20+4pin,主动式PFC,主板（20+4）PIN长550mm，CPU（4+4）PIN长600mm，支持全塔背线,
206,,,,,,,,,,,,,,,,,,,,,,,山头林村,,,,,,,,,,
207,鑫谷GP700G黑金电源,1033531,2.3kg,中国大陆,标准电源（ATX）,非模组化,501W-700W,大型游戏/电竞，一般家用/办公,金牌（90%）,鑫谷GP700G黑金版电源,100-240V,支持温控,600W,140*150*85mm,2.3KG,,700W,支持宽幅,CCC认证,5年,,,鑫谷Segotep,ATX电源,12cm,6个,2个,5个,2个,20+4pin,主动式PFC,主板（20+4）PIN长550mm，CPU（4+4）PIN长600mm，支持全塔背线,
208,航嘉（Huntkey）WD500K,10026251259400,1.98kg,,标准电源（ATX）,全模组化,301-500W,大型游戏/电竞，一般家用/办公,金牌（90%）,,100-240V,支持温控,,,1.5,1个,,支持宽幅,CCC认证,3年,蜀刀电脑DIY旗舰店,不支持风扇启停,航嘉HuntKey,,12cm,4个,2个,2个,2个,,,,
209,航嘉WD600K,100004924768,2.06kg,中国大陆,标准电源（ATX）,非模组化,501W-700W,,金牌（90%）,WD600K,100-240V,支持温控,600W,150*140*86,1.5kg,,700W,支持宽幅,CCC认证,3年,,不支持风扇启停,,,,4个,,2个,,20+4pin,,1.5m,6.95E+12
210,艾湃电竞AN-550,100006806550,2.55kg,中国大陆,标准电源（ATX）,非模组化,501W-700W,,金牌（90%）,AN-550,100-240Vac,支持温控,550W,,1.8kg,,,支持宽幅,CCC认证；FCC认证；CE认证；cTUVus认证；RCM认证；TUV认证；BSMI认证；CB认证,7年,,,,ATX电源,14cm,10个,,,,20+4pin,,450mm,
211,航嘉MVPK750,6093991,2.75kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,金牌（90%）,MVPK750,90-264V,支持温控,750W,150*86*150mm,2.7KG,3个,850W,支持宽幅,CCC认证,3年,,不支持风扇启停,航嘉HuntKey,ATX电源,,4个,,3个,,,主动式PFC,1.5m,6.95E+12
212,安钛克NE550W,100012957096,2.4kg,中国大陆,标准电源（ATX）,全模组化,501W-700W,,金牌（90%）,,100V-240V,支持温控,550W,140mm*150mm*86mm,2.4kg,,,支持宽幅,CCC认证,7年,,,安钛克Antec,ATX电源,12cm,8个,2个,3个,,20+4pin,主动式PFC,1.5m,
213,航嘉jumper450S,942041,1.86kg,中国大陆,标准电源（ATX）,非模组化,301-500W,一般家用/办公,其他,JUMPER450S,150-264V,支持温控,450W,150mm(L)x140mm(W)x86mm(H),净重1.6kg毛重2.01kg,1个,550W,支持宽幅,CCC认证,3年,,不支持风扇启停,,,,,,,,,,1.5m,
214,美商海盗船（USCORSAIR）AX1600i,67869819016,15.0kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞，一般家用/办公,钛金牌（94%）,AX1600i,100-240V,支持温控,,150mmx86mmx200mm,2.65kg,,,支持宽幅,RoHS(China)认证,10年,美商海盗船超畅行专卖店,,,,,,,,,,,,
215,爱国者爱国者（aigo）额定800W电竞800全模组电源,5119630,2.455kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,金牌（90%）,电竞800全模组镀锡线,100-240Vac,支持温控,800w,160*150*86mm,2.06KG,,850W,支持宽幅,CCC认证,5年,,不支持风扇启停,爱国者Aigo,,14cm,6个,2个,4个,4个,20+4pin,主动式PFC,1.5m,
216,SUPERFLOWERLEADEXT1600W,1861917,6.34kg,中国大陆,标准电源（ATX）,全模组化,900W以上,大型游戏/电竞，矿机,钛金牌（94%）,LEADEXT1600W,100~240V,支持温控,,,净重4kg,,,支持宽幅,CCC认证；FCC认证；CE认证；cTUVus认证；TUV认证；BSMI认证；CB认证；RoHS认证,10年,,支持风扇启停,振华SUPERFLOWER,ATX电源,14cm,6个,2个,5个,9个,20+4pin,主动式PFC,支持走背线,
217,酷冷至尊（CoolerMaster）雷霆铜牌,66143287389,100.00g,,标准电源（ATX）,非模组化,301-500W,机箱电源套装，一般家用/办公,铜牌（85%）,雷霆铜牌,200-240V,支持温控,,标准电源ATX,1.2,1个,,不支持宽幅,CCC认证,3年,星辰聚官方旗舰店,支持风扇启停,酷冷至尊COOLERMASTER,,12cm,4个,1个,0个,1个,,,看参数,
218,航嘉（Huntkey）500W/550W/600W/700W主机台式机电脑游戏电源主机电源白牌电源GX500直出500W白牌,10020526462606,2.2kg,,标准电源（ATX）,非模组化,501W-700W,大型游戏/电竞，机箱电源套装,白牌（80%）,,220,支持温控,550W,,1.85,,,支持宽幅,CCC认证,3年,赞达云商专营店,不支持风扇启停,航嘉HuntKey,ATX电源,12cm,,,,,,主动式PFC,,
219,长城F8,100015333434,2.94kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,白金牌（92%）,F8,100-240V,支持温控,850W,150*150*86,2.4,,950W,支持宽幅,CCC认证,10年,,支持风扇启停,长城GreatWall,ATX电源,14cm,9个,2个,3个,6个,20+4pin,主动式PFC,1.5m,
220,航嘉MVPK750,6093991,2.75kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,金牌（90%）,MVPK750,90-264V,支持温控,750W,150*86*150mm,2.7KG,3个,850W,支持宽幅,CCC认证,3年,,不支持风扇启停,航嘉HuntKey,ATX电源,,4个,,3个,,,主动式PFC,1.5m,6.95E+12
221,长城（GreatWall）巨龙700W电竞版,10024037547555,1.0kg,中国大陆,标准电源（ATX）,全模组化,501W-700W,大型游戏/电竞，一般家用/办公,金牌（90%）,巨龙700W电竞版,100-240V,支持温控,700W,140*150*86mm,2.185,,,支持宽幅,CCC认证,3年,方度电脑专营店,,长城GreatWall,ATX电源,12cm,6个,2个,3个,2个,20+4pin,主动式PFC,1.5m,
222,,72034260384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,先马金牌500W,1231200,2.28kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞,金牌（90%）,金牌500W,100-240V,支持温控,500W,,净重：约1.84kg,,,支持宽幅,CCC认证,3年,,,先马SAMA,ATX电源,12cm,4个,,2个,2个,20+4pin,主动式PFC,,
224,酷冷至尊（CoolerMaster）雷霆铜牌,66143287389,100.00g,,标准电源（ATX）,非模组化,301-500W,机箱电源套装，一般家用/办公,铜牌（85%）,雷霆铜牌,200-240V,支持温控,,标准电源ATX,1.2,1个,,不支持宽幅,CCC认证,3年,星辰聚官方旗舰店,支持风扇启停,酷冷至尊COOLERMASTER,,12cm,4个,1个,0个,1个,,,看参数,
225,航嘉WD500K,100004925348,1.98kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,金牌（90%）,WD500K,90-264V,支持温控,500W,150x86x140mm,1.585KG,1个,600W,支持宽幅,CCC认证,3年,,不支持风扇启停,,,12cm,,,,,,主动式PFC,1.5m,6.95E+12
226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,航嘉（Huntkey）500W/550W/600W/700W主机台式机电脑游戏电源主机电源白牌电源GX500直出500W白牌,10020526462606,2.2kg,,标准电源（ATX）,非模组化,501W-700W,大型游戏/电竞，机箱电源套装,白牌（80%）,,220,支持温控,550W,,1.85,,,支持宽幅,CCC认证,3年,赞达云商专营店,不支持风扇启停,航嘉HuntKey,ATX电源,12cm,,,,,,主动式PFC,,
228,航嘉WD600K,100004924768,2.06kg,中国大陆,标准电源（ATX）,非模组化,501W-700W,,金牌（90%）,WD600K,100-240V,支持温控,600W,150*140*86,1.5kg,,700W,支持宽幅,CCC认证,3年,,不支持风扇启停,,,,4个,,2个,,20+4pin,,1.5m,6.95E+12
229,艾湃电竞AN-550,100006806550,2.55kg,中国大陆,标准电源（ATX）,非模组化,501W-700W,,金牌（90%）,AN-550,100-240Vac,支持温控,550W,,1.8kg,,,支持宽幅,CCC认证；FCC认证；CE认证；cTUVus认证；RCM认证；TUV认证；BSMI认证；CB认证,7年,,,,ATX电源,14cm,10个,,,,20+4pin,,450mm,
230,长城100011820378,100009419391,20.0kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，机箱电源套装,其他,hope6000ds,100-240V,支持温控,500W,150X140X86,1.845kg,,600W,支持宽幅,CCC认证,1年,,不支持风扇启停,长城GreatWall,ATX电源,12cm,5个,1个,3个,2个,20+4pin,主动式PFC,1.5m,
231,先马金牌500W,1231200,2.28kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞,金牌（90%）,金牌500W,100-240V,支持温控,500W,,净重：约1.84kg,,,支持宽幅,CCC认证,3年,,,先马SAMA,ATX电源,12cm,4个,,2个,2个,20+4pin,主动式PFC,,
232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
