,商品名称,商品编号,店铺,商品毛重,货号,芯片组,性能,质保期,显存容量,是否支持PCIE4.0,显存类型,接口,散热风扇,显存位宽,型号,灯效,品牌,流处理单元,核心品牌,核心频率,DirectX,电源接口,建议电源,显卡长度,商品产地,适用游戏,核心代号,芯片制程,是否支持显卡交火,风扇调速,散热器类型,产品尺寸（mm）,最大分辨率,显存频率,质保年限
151,丽台NVIDIAQuadroM2000M4000M5000M6000专业绘图显卡M20004GBGDDR5专业图形显卡,68293685448,奥伟电脑办公专营店,500.00g,,NVIDIA,专业显卡Quadro/Tesla,,4GB,不支持PCIE4.0,GDDR5,其他,其他,128bit,其他,无光,,,NVIDIA,550MHz,,其他,550W以上,35cm,,,,,,,,,,,1年质保
152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,技嘉GV-R69XTGAMINGOC-16GD,100010057713,,1.645kg,,AMD芯片,,,16GB,支持PCIE4.0,GDDR6,HDMI，DP,三风扇,256bit,其他,RGB,,,AMD,其他,,8pin×3,700W以上,28.6cm,中国,,,,,,,H=58L=286W=118,,,3年质保
154,华硕（ASUS）3060,10029613315162,华硕极客盟专卖店,3.0kg,,NVIDIA,游戏，发烧,,12GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,192bit,RTX3060,RGB,华硕ASUS,192,NVIDIA,其他,,8pinx2,550W以上,30cm,,英雄联盟，使命召唤11，吃鸡游戏,,,,,,,,,3年质保
155,七彩虹（Colorful）RTX3080Ti,10034638598961,恒惠视界电脑旗舰店,2.0kg,,NVIDIA,游戏，家用/办公,,10GB,支持PCIE4.0,GDDR6X,HDMI，DP,三风扇,其他,其他,RGB,七彩虹COLORFUL,1280,NVIDIA,其他,最高支持DirectX12.1,8pin×3,700W以上,30cm,,吃鸡游戏，Apex英雄，战地5,TU106,12纳米,不支持显卡交火,支持调速,,,,,3年质保
156,影驰GTX1050TI大将4G显卡电脑游戏独立显卡,24214749206,胖虫官方旗舰店,1.1kg,,NVIDIA,游戏,,4GB,不支持PCIE4.0,GDDR5,PCI-E3.0,双风扇,128bit,其他,RGB,影驰GALAXY,,NVIDIA,其他,最高支持DirectX12.1,6pinx1,300W以上,21.4cm,,英雄联盟，吃鸡游戏，Apex英雄,,,不支持显卡交火,支持调速,风冷,214×126×39mm,7680x4320,,3年质保
157,AMD6700XT,10031574785447,中联电脑配件专营店,2.68kg,X1,AMD芯片,,,12GB,支持PCIE4.0,GDDR6,HDMI，DP，Type-C,三风扇,其他,其他,RGB,AMD,,AMD,其他,,其他,700W以上,26.7cm,,,,7纳米,,,,,,,2年质保
158,影驰3090HOFExtreme,100018346278,,4.38kg,,NVIDIA,游戏,,24GB,支持PCIE4.0,GDDR6X,HDMI，DP,三风扇,384bit,RTX3090,RGB,,,NVIDIA,其他,,8pin×3,1000w以上,33.5cm,中国大陆,吃鸡游戏，DOTA2，逆战,,,,,,,,,3年质保
159,蓝宝石AMDRADEONRX6900XT16G超白金\/毒药台式机电脑游戏显卡RX6900XT16G超白金极光特别版,10032178544512,寒山居电脑专营店,1.5kg,,AMD芯片,,,16GB,支持PCIE4.0,GDDR6,HDMI，DP,三风扇,256bit,其他,RGB,蓝宝石SAPPHIRE,,AMD,其他,最高支持DirectX12.1,8pinx2,700W以上,31cm,,全面战争，堡垒之夜，战地5,,7纳米,支持显卡交火,支持调速,,,,,2年质保
160,华硕（ASUS）3060,10029613315162,华硕极客盟专卖店,3.0kg,,NVIDIA,游戏，发烧,,12GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,192bit,RTX3060,RGB,华硕ASUS,192,NVIDIA,其他,,8pinx2,550W以上,30cm,,英雄联盟，使命召唤11，吃鸡游戏,,,,,,,,,3年质保
161,华硕ROG-STRIX-RTX3090-O24G-GAMING,100009131519,,2.405kg,,NVIDIA,,,24GB,支持PCIE4.0,GDDR6X,HDMI，DP,三风扇,384bit,RTX3090,RGB,,,NVIDIA,其他,,8pin×3,700W以上,31.85cm,中国大陆,剑网3，吃鸡游戏,,,,,,31.85x14.01x5.78厘米,,,3年质保
162,华硕（ASUS）3060TI,10034467438912,华硕极客盟专卖店,1.3kg,,NVIDIA,,,8GB,支持PCIE4.0,GDDR6X,HDMI，DP,其他,其他,RTX3060Ti,RGB,华硕ASUS,,NVIDIA,其他,,其他,600W以上,27cm,,,,,,,,,,,3年质保
163,华硕ROG-STRIX-RTX3080-O10G-V2-GAMING,100012117639,,2.44kg,,NVIDIA,,,10GB,支持PCIE4.0,GDDR6X,PCI-E4.0,三风扇,320bit,RTX3080,RGB,华硕ASUS,,NVIDIA,其他,,8pin×3,700W以上,32cm,中国大陆,,,,,,,,,,3年质保
164,七彩虹战斧RTX3060Ti2060Ultra2060Super火神电脑电竞游戏显卡RTX3060TiUltraL8G锁算力单显卡,10025005259380,极畅DIY电脑旗舰店,1.5kg,,NVIDIA,游戏，发烧,,其他,不支持PCIE4.0,其他,PCI-E3.0,三风扇,其他,其他,单光,七彩虹COLORFUL,16,NVIDIA,其他,最高支持DirectX12.1,其他,450W以上,31.5cm,,守望先锋，吃鸡游戏，GTA5,G80,90纳米,不支持显卡交火,不支持调速,风冷,,,800MHz,3年质保
165,七彩虹（Colorful）RTX3080Ti,10034638598961,恒惠视界电脑旗舰店,2.0kg,,NVIDIA,游戏，家用/办公,,10GB,支持PCIE4.0,GDDR6X,HDMI，DP,三风扇,其他,其他,RGB,七彩虹COLORFUL,1280,NVIDIA,其他,最高支持DirectX12.1,8pin×3,700W以上,30cm,,吃鸡游戏，Apex英雄，战地5,TU106,12纳米,不支持显卡交火,支持调速,,,,,3年质保
166,影驰影驰（Galaxy）GeForceRTX3060Ti金属大师OC[FG]N卡/电竞专业游戏显卡,100022076298,,1.425kg,,NVIDIA,游戏,,8GB,支持PCIE4.0,GDDR6,HDMI，DP,三风扇,256bit,其他,无光,,,NVIDIA,其他,,8pinx1,650W以上,31.8cm,中国大陆,吃鸡游戏，DOTA2，逆战,,,,,,,,,3年质保
167,影驰影驰（Galaxy）GeForceRTX3060Ti金属大师OC[FG]N卡/电竞专业游戏显卡,100022076298,,1.425kg,,NVIDIA,游戏,,8GB,支持PCIE4.0,GDDR6,HDMI，DP,三风扇,256bit,其他,无光,,,NVIDIA,其他,,8pinx1,650W以上,31.8cm,中国大陆,吃鸡游戏，DOTA2，逆战,,,,,,,,,3年质保
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,华硕（ASUS）3070TI,10032787393189,华硕极客盟专卖店,4.0kg,,NVIDIA,游戏，发烧，科学运算,,8GB,支持PCIE4.0,GDDR6X,HDMI，DP,三风扇,其他,RTX3070Ti,RGB,,,NVIDIA,其他,,其他,700W以上,30cm,,英雄联盟，吃鸡游戏，GTA5,,,,,,,,,3年质保
171,思腾合力（SITONHOLY）NVIDIARTX?A6000,10026400554879,商通四方服务器专营店,2.5kg,,其他,,,,,,,,,NVIDIARTX?A6000,,,,,,,,,,中国大陆,,,,,,,,,,
172,华硕（ASUS）ROG-STRIX-RTX3080-O10G-GAMING,10032631265636,华硕圣狮专卖店,2.42kg,,NVIDIA,,,10GB,支持PCIE4.0,其他,HDMI，DP,三风扇,其他,RTX3080,RGB,华硕ASUS,,NVIDIA,其他,,其他,700W以上,31.85cm,,,,,,,,,,,3年质保
173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,影驰GTX1050TI大将4G显卡电脑游戏独立显卡,24214749206,胖虫官方旗舰店,1.1kg,,NVIDIA,游戏,,4GB,不支持PCIE4.0,GDDR5,PCI-E3.0,双风扇,128bit,其他,RGB,影驰GALAXY,,NVIDIA,其他,最高支持DirectX12.1,6pinx1,300W以上,21.4cm,,英雄联盟，吃鸡游戏，Apex英雄,,,不支持显卡交火,支持调速,风冷,214×126×39mm,7680x4320,,3年质保
182,七彩虹（COLORFUL）GT1030,10031040289050,七彩虹官祺专卖店,1.5kg,,NVIDIA,,,2GB,不支持PCIE4.0,GDDR4,HDMI，VGA,单风扇,64bit,其他,无光,,,NVIDIA,其他,,其他,300W以上,21cm,,英雄联盟，梦幻西游2，CS,,14纳米,不支持显卡交火,不支持调速,,,,,3年质保
183,七彩虹（Colorful）GTX10502G,66474715776,明灵二手电脑专营店,0.8kg,GTX1050Ti4G,,,,,,,,,,,,,,,,,,,,中国大陆,,,,,,,,,,
184,七彩虹iGameGeForceGTX1650UltraOC4GD6,100012348130,,1.065kg,,NVIDIA,游戏,,4GB,不支持PCIE4.0,GDDR6,HDMI，DP，DVI,双风扇,128bit,GTX1650,RGB,七彩虹COLORFUL,,NVIDIA,其他,,6pinx1,300W以上,24cm,中国大陆,,,,,,风冷,240*132*40.3mm,,,3年质保
185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,影驰GTX1050TI大将4G显卡电脑游戏独立显卡,24214749206,胖虫官方旗舰店,1.1kg,,NVIDIA,游戏,,4GB,不支持PCIE4.0,GDDR5,PCI-E3.0,双风扇,128bit,其他,RGB,影驰GALAXY,,NVIDIA,其他,最高支持DirectX12.1,6pinx1,300W以上,21.4cm,,英雄联盟，吃鸡游戏，Apex英雄,,,不支持显卡交火,支持调速,风冷,214×126×39mm,7680x4320,,3年质保
187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,影驰GTX1050TI大将4G显卡电脑游戏独立显卡,24214749206,胖虫官方旗舰店,1.1kg,,NVIDIA,游戏,,4GB,不支持PCIE4.0,GDDR5,PCI-E3.0,双风扇,128bit,其他,RGB,影驰GALAXY,,NVIDIA,其他,最高支持DirectX12.1,6pinx1,300W以上,21.4cm,,英雄联盟，吃鸡游戏，Apex英雄,,,不支持显卡交火,支持调速,风冷,214×126×39mm,7680x4320,,3年质保
189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,盈通（yeston）台式机电脑主机游戏独立显卡RX5504GLPD5XL2,46525048192,yeston盈通旗舰店,75.00g,,AMD芯片,游戏,,4GB,不支持PCIE4.0,GDDR5,PCI-E3.0,单风扇,128bit,RX550,无光,盈通Yeston,,AMD,其他,最高支持DirectX12.1,无,300W以上,145cm,中国大陆,英雄联盟，梦三国，逆战,,14纳米,不支持显卡交火,支持调速,风冷,170*103*20mm,,,2年质保
191,微星GeForceGTX1650SUPERGAMINGX,100005689491,,1.34kg,,NVIDIA,游戏,,4GB,不支持PCIE4.0,GDDR6,HDMI，DP,双风扇,128bit,其他,无光,,,NVIDIA,其他,最高支持DirectX12.1,6pinx1,350W,24.8cm,中国大陆,英雄联盟，吃鸡游戏，DOTA2,,,,支持调速,,,,,3年质保
192,七彩虹战斧GeForceGTX1660Ti6G,100002279317,,0.8kg,,,游戏,,6GB,不支持PCIE4.0,GDDR6,PCI-E3.0,双风扇,192bit,,无光,七彩虹COLORFUL,其他,NVIDIA,1500(Bst：1770)MHz,最高支持DirectX12.1,8pinx1,450W以上,22.2cm,中国大陆,最终幻想13，坦克世界，魔兽世界,其他,,,支持调速,风冷,222*126*42mm,,12Gbps,3年质保
193,影驰GTX1050TI大将4G显卡电脑游戏独立显卡,24214749206,胖虫官方旗舰店,1.1kg,,NVIDIA,游戏,,4GB,不支持PCIE4.0,GDDR5,PCI-E3.0,双风扇,128bit,其他,RGB,影驰GALAXY,,NVIDIA,其他,最高支持DirectX12.1,6pinx1,300W以上,21.4cm,,英雄联盟，吃鸡游戏，Apex英雄,,,不支持显卡交火,支持调速,风冷,214×126×39mm,7680x4320,,3年质保
194,七彩虹（Colorful）GTX1650/1650Super,10021180386910,星辰聚官方旗舰店,0.6kg,GTX1650/1650Super,NVIDIA,游戏,,4GB,支持PCIE4.0,GDDR6,HDMI，DP，DVI,双风扇,128bit,其他,无光,七彩虹COLORFUL,128,NVIDIA,其他,最高支持DirectX10.0,8pinx1,300W以上,23.2cm,,英雄联盟，守望先锋，天龙八部,TU106,0.11微米,不支持显卡交火,支持调速,,,,,3年质保
195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,影驰GTX1050TI大将4G显卡电脑游戏独立显卡,24214749206,胖虫官方旗舰店,1.1kg,,NVIDIA,游戏,,4GB,不支持PCIE4.0,GDDR5,PCI-E3.0,双风扇,128bit,其他,RGB,影驰GALAXY,,NVIDIA,其他,最高支持DirectX12.1,6pinx1,300W以上,21.4cm,,英雄联盟，吃鸡游戏，Apex英雄,,,不支持显卡交火,支持调速,风冷,214×126×39mm,7680x4320,,3年质保
198,【二手9成新】华硕蓝宝石讯景AMDRX4704805705804G8G台式机独立游戏显卡讯景RX5808G,44495009239,晶瑞二手电脑专营店,5.0kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,影驰GTX1050TI大将4G显卡电脑游戏独立显卡,24214749206,胖虫官方旗舰店,1.1kg,,NVIDIA,游戏,,4GB,不支持PCIE4.0,GDDR5,PCI-E3.0,双风扇,128bit,其他,RGB,影驰GALAXY,,NVIDIA,其他,最高支持DirectX12.1,6pinx1,300W以上,21.4cm,,英雄联盟，吃鸡游戏，Apex英雄,,,不支持显卡交火,支持调速,风冷,214×126×39mm,7680x4320,,3年质保
201,影驰GTX1050TI大将4G显卡电脑游戏独立显卡,24214749206,胖虫官方旗舰店,1.1kg,,NVIDIA,游戏,,4GB,不支持PCIE4.0,GDDR5,PCI-E3.0,双风扇,128bit,其他,RGB,影驰GALAXY,,NVIDIA,其他,最高支持DirectX12.1,6pinx1,300W以上,21.4cm,,英雄联盟，吃鸡游戏，Apex英雄,,,不支持显卡交火,支持调速,风冷,214×126×39mm,7680x4320,,3年质保
202,七彩虹iGameGeForceGTX1660TiUltra6G,100003098848,,1.64kg,,NVIDIA,游戏,,6GB,不支持PCIE4.0,GDDR6,PCI-E3.0,三风扇,192bit,GTX1660,单光,七彩虹COLORFUL,,NVIDIA,其他,最高支持DirectX12.1,8pinx1,450W以上,31cm,中国大陆,坦克世界，守望先锋，使命召唤11,,,,支持调速,风冷,310*126*42mm,,,3年质保
203,影驰影驰（Galaxy）GeForceRTX3060Ti金属大师OC[FG]N卡/电竞专业游戏显卡,100022076298,,1.425kg,,NVIDIA,游戏,,8GB,支持PCIE4.0,GDDR6,HDMI，DP,三风扇,256bit,其他,无光,,,NVIDIA,其他,,8pinx1,650W以上,31.8cm,中国大陆,吃鸡游戏，DOTA2，逆战,,,,,,,,,3年质保
204,微星GT1030AEROITX2GOC,5084708,,0.52kg,,,游戏,,2GB,,GDDR4,PCI-E3.0,单风扇,64bit,,,微星MSI,384,NVIDIA,1189MHz/1430MHz,最高支持DirectX12.1,无,300W以上,14.7cm,中国大陆,,,,,,风冷,147*102*38mm,,,3年质保
205,七彩虹iGameGeForceGTX1660TiUltra6G,100003098848,,1.64kg,,NVIDIA,游戏,,6GB,不支持PCIE4.0,GDDR6,PCI-E3.0,三风扇,192bit,GTX1660,单光,七彩虹COLORFUL,,NVIDIA,其他,最高支持DirectX12.1,8pinx1,450W以上,31cm,中国大陆,坦克世界，守望先锋，使命召唤11,,,,支持调速,风冷,310*126*42mm,,,3年质保
206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,,100018516414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,七彩虹iGameGeForceGTX1650UltraOC4GD6,100012348130,,1.065kg,,NVIDIA,游戏,,4GB,不支持PCIE4.0,GDDR6,HDMI，DP，DVI,双风扇,128bit,GTX1650,RGB,七彩虹COLORFUL,,NVIDIA,其他,,6pinx1,300W以上,24cm,中国大陆,,,,,,风冷,240*132*40.3mm,,,3年质保
209,七彩虹（Colorful）RTX3060,10031653271026,灵竞DIY旗舰店,2.5kg,,NVIDIA,,,12GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,192bit,其他,RGB,七彩虹COLORFUL,,NVIDIA,其他,最高支持DirectX12.1,8pinx2,600W以上,32.3cm,,魔兽世界，GTA5，风暴英雄,,,不支持显卡交火,支持调速,风冷,,,,3年质保
210,七彩虹（Colorful）RTX3080Ti,10034319679847,恒惠视界电脑旗舰店,2.0kg,,NVIDIA,游戏，家用/办公,,其他,支持PCIE4.0,其他,HDMI，DP,三风扇,其他,其他,RGB,七彩虹COLORFUL,1280,NVIDIA,其他,最高支持DirectX12.1,8pinx2,700W以上,30cm,,吃鸡游戏，Apex英雄，战地5,TU106,12纳米,不支持显卡交火,支持调速,,,,,3年质保
211,,100018516414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,华硕（ASUS）3060,10029613315162,华硕极客盟专卖店,3.0kg,,NVIDIA,游戏，发烧,,12GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,192bit,RTX3060,RGB,华硕ASUS,192,NVIDIA,其他,,8pinx2,550W以上,30cm,,英雄联盟，使命召唤11，吃鸡游戏,,,,,,,,,3年质保
213,影驰GTX1650Ultra大将OCGDDR6台式机电脑电竞游戏吃鸡独立显卡GTX1650SGT1030光影D4官方标配,10026961852897,台通电脑DIY专营店,1.5kg,,NVIDIA,家用/办公,,2GB,不支持PCIE4.0,其他,HDMI，DP,双风扇,64bit,其他,无光,影驰GALAXY,,NVIDIA,其他,,无,400W以上,23cm,,,,,,,,,,,3年质保
214,影驰3090HOFExtreme,100018346278,,4.38kg,,NVIDIA,游戏,,24GB,支持PCIE4.0,GDDR6X,HDMI，DP,三风扇,384bit,RTX3090,RGB,,,NVIDIA,其他,,8pin×3,1000w以上,33.5cm,中国大陆,吃鸡游戏，DOTA2，逆战,,,,,,,,,3年质保
215,AMD6700XT,10031574785447,中联电脑配件专营店,2.68kg,X1,AMD芯片,,,12GB,支持PCIE4.0,GDDR6,HDMI，DP，Type-C,三风扇,其他,其他,RGB,AMD,,AMD,其他,,其他,700W以上,26.7cm,,,,7纳米,,,,,,,2年质保
216,影驰3090HOFExtreme,100018346278,,4.38kg,,NVIDIA,游戏,,24GB,支持PCIE4.0,GDDR6X,HDMI，DP,三风扇,384bit,RTX3090,RGB,,,NVIDIA,其他,,8pin×3,1000w以上,33.5cm,中国大陆,吃鸡游戏，DOTA2，逆战,,,,,,,,,3年质保
217,影驰影驰（Galaxy）GeForceRTX3070TiHOFPro旗舰级电脑电竞游戏专业显卡,100025121776,,2.19kg,,NVIDIA,游戏,,8GB,支持PCIE4.0,GDDR6X,HDMI，DP,三风扇,256bit,RTX3070Ti,RGB,,,NVIDIA,其他,,8pinx2,850w以上,30.3cm,中国大陆,吃鸡游戏，DOTA2，逆战,,,,,,,,,3年质保
218,【二手95新】微星RTX20602070S2080S2080Ti魔龙暗黑龙诀万图师装甲师微星RTX2070GAMING8G魔龙,66887193019,京乐购二手电脑专营店,2.42kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,技嘉GV-N308TAORUSM-12GD,100011800561,,3.22kg,,NVIDIA,游戏，发烧,,12GB,支持PCIE4.0,GDDR6X,HDMI，DP,三风扇,384bit,RTX3080Ti,RGB,,,NVIDIA,其他,,8pin×3,700W以上,31.9cm,中国,,,,,,,H=70L=319W=140,,,3年以上质保
220,AMD6700XT,10031574785447,中联电脑配件专营店,2.68kg,X1,AMD芯片,,,12GB,支持PCIE4.0,GDDR6,HDMI，DP，Type-C,三风扇,其他,其他,RGB,AMD,,AMD,其他,,其他,700W以上,26.7cm,,,,7纳米,,,,,,,2年质保
221,七彩虹（Colorful）RTX3060,10031653271026,灵竞DIY旗舰店,2.5kg,,NVIDIA,,,12GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,192bit,其他,RGB,七彩虹COLORFUL,,NVIDIA,其他,最高支持DirectX12.1,8pinx2,600W以上,32.3cm,,魔兽世界，GTA5，风暴英雄,,,不支持显卡交火,支持调速,风冷,,,,3年质保
222,技嘉GV-R69XTGAMINGOC-16GD,100010057713,,1.645kg,,AMD芯片,,,16GB,支持PCIE4.0,GDDR6,HDMI，DP,三风扇,256bit,其他,RGB,,,AMD,其他,,8pin×3,700W以上,28.6cm,中国,,,,,,,H=58L=286W=118,,,3年质保
223,微星GeForceGTX1650SUPERGAMINGX,100005689491,,1.34kg,,NVIDIA,游戏,,4GB,不支持PCIE4.0,GDDR6,HDMI，DP,双风扇,128bit,其他,无光,,,NVIDIA,其他,最高支持DirectX12.1,6pinx1,350W,24.8cm,中国大陆,英雄联盟，吃鸡游戏，DOTA2,,,,支持调速,,,,,3年质保
224,影驰影驰（Galaxy）GeForceRTX3070TiHOFPro旗舰级电脑电竞游戏专业显卡,100025121776,,2.19kg,,NVIDIA,游戏,,8GB,支持PCIE4.0,GDDR6X,HDMI，DP,三风扇,256bit,RTX3070Ti,RGB,,,NVIDIA,其他,,8pinx2,850w以上,30.3cm,中国大陆,吃鸡游戏，DOTA2，逆战,,,,,,,,,3年质保
225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,【二手95新】微星RTX20602070S2080S2080Ti魔龙暗黑龙诀万图师装甲师微星RTX2070GAMING8G魔龙,66887193019,京乐购二手电脑专营店,2.42kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,七彩虹（Colorful）RTX3060,10031653271026,灵竞DIY旗舰店,2.5kg,,NVIDIA,,,12GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,192bit,其他,RGB,七彩虹COLORFUL,,NVIDIA,其他,最高支持DirectX12.1,8pinx2,600W以上,32.3cm,,魔兽世界，GTA5，风暴英雄,,,不支持显卡交火,支持调速,风冷,,,,3年质保
229,七彩虹（Colorful）RTX3080Ti,10034319679847,恒惠视界电脑旗舰店,2.0kg,,NVIDIA,游戏，家用/办公,,其他,支持PCIE4.0,其他,HDMI，DP,三风扇,其他,其他,RGB,七彩虹COLORFUL,1280,NVIDIA,其他,最高支持DirectX12.1,8pinx2,700W以上,30cm,,吃鸡游戏，Apex英雄，战地5,TU106,12纳米,不支持显卡交火,支持调速,,,,,3年质保
230,影驰1060升级版GTX1660/1660S/1660ti/2060吃鸡GTA5电竞玩游戏独立显卡GTX1660大将,49391267490,锐世界旗舰店,0.9kg,,NVIDIA,游戏,,6GB,支持PCIE4.0,GDDR5,PCI-E3.0,双风扇,192bit,其他,RGB,影驰GALAXY,,NVIDIA,其他,最高支持DirectX12.1,6pinx1,400W以上,28cm,,巫师3，吃鸡游戏，GTA5,,28纳米,不支持显卡交火,支持调速,风冷,246×135×43mm,7680x4320,,3年质保
231,七彩虹iGameGeForceGTX1660TiUltra6G,100003098848,,1.64kg,,NVIDIA,游戏,,6GB,不支持PCIE4.0,GDDR6,PCI-E3.0,三风扇,192bit,GTX1660,单光,七彩虹COLORFUL,,NVIDIA,其他,最高支持DirectX12.1,8pinx1,450W以上,31cm,中国大陆,坦克世界，守望先锋，使命召唤11,,,,支持调速,风冷,310*126*42mm,,,3年质保
232,七彩虹（COLORFUL）GT1030,10031040289050,七彩虹官祺专卖店,1.5kg,,NVIDIA,,,2GB,不支持PCIE4.0,GDDR4,HDMI，VGA,单风扇,64bit,其他,无光,,,NVIDIA,其他,,其他,300W以上,21cm,,英雄联盟，梦幻西游2，CS,,14纳米,不支持显卡交火,不支持调速,,,,,3年质保
233,影驰GTX1650Ultra大将OCGDDR6台式机电脑电竞游戏吃鸡独立显卡GTX1650SGT1030光影D4官方标配,10026961852897,台通电脑DIY专营店,1.5kg,,NVIDIA,家用/办公,,2GB,不支持PCIE4.0,其他,HDMI，DP,双风扇,64bit,其他,无光,影驰GALAXY,,NVIDIA,其他,,无,400W以上,23cm,,,,,,,,,,,3年质保
234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,【二手95成新】evgaRTX20808GXC支持光追支持赛博朋克2077evgaRTX20808GXC,10026034572638,天机本联二手电脑专营店,2.0kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,七彩虹（Colorful）RTX3060,10031653271026,灵竞DIY旗舰店,2.5kg,,NVIDIA,,,12GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,192bit,其他,RGB,七彩虹COLORFUL,,NVIDIA,其他,最高支持DirectX12.1,8pinx2,600W以上,32.3cm,,魔兽世界，GTA5，风暴英雄,,,不支持显卡交火,支持调速,风冷,,,,3年质保
237,华硕TUF-RTX3070TI-O8G-GAMING,100011553443,,1.94kg,,NVIDIA,,,8GB,支持PCIE4.0,GDDR6X,PCI-E4.0,三风扇,其他,RTX3070Ti,RGB,华硕ASUS,,NVIDIA,其他,,8pinx2,700W以上,32cm,中国大陆,,,,,,,,,,3年质保
238,七彩虹（Colorful）RTX3060,10031653271026,灵竞DIY旗舰店,2.5kg,,NVIDIA,,,12GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,192bit,其他,RGB,七彩虹COLORFUL,,NVIDIA,其他,最高支持DirectX12.1,8pinx2,600W以上,32.3cm,,魔兽世界，GTA5，风暴英雄,,,不支持显卡交火,支持调速,风冷,,,,3年质保
239,蓝宝石RX6800XT16GD6超白金OC,100016727948,,1.735kg,,AMD芯片,发烧,,16GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,256bit,RX6800XT,RGB,蓝宝石SAPPHIRE,4608,AMD,2110-2360MHz,最高支持DirectX12.1,8pinx2,850W及以上,31cm,中国大陆,孤岛危机3，吃鸡游戏，GTA5,,,,,风冷,310*134*54mm,支持8K分辨率,16Gbps,2年质保
240,七彩虹（Colorful）七彩虹（Colorful）iGameGTX1080TiVulcanAD,40515642529,京乐购二手电脑专营店,2.0kg,,,,,,,,,,,,,,,,,,,,,中国大陆,,,,,,,,,,
241,华硕（ASUS）ROG-RTX3080TI-O12G-GAMING,10032320654200,华硕圣狮专卖店,1.36kg,,NVIDIA,游戏，发烧,,12GB,支持PCIE4.0,GDDR6X,HDMI，DP,三风扇,384bit,RTX3080Ti,单光,华硕ASUS,,NVIDIA,其他,,8pinx2,700W以上,32cm,,,,,,,,,,,3年质保
242,影驰GTX1650Ultra大将OCGDDR6台式机电脑电竞游戏吃鸡独立显卡GTX1650SGT1030光影D4官方标配,10026961852897,台通电脑DIY专营店,1.5kg,,NVIDIA,家用/办公,,2GB,不支持PCIE4.0,其他,HDMI，DP,双风扇,64bit,其他,无光,影驰GALAXY,,NVIDIA,其他,,无,400W以上,23cm,,,,,,,,,,,3年质保
243,七彩虹战斧GeForceGTX1660Ti6G,100002279317,,0.8kg,,,游戏,,6GB,不支持PCIE4.0,GDDR6,PCI-E3.0,双风扇,192bit,,无光,七彩虹COLORFUL,其他,NVIDIA,1500(Bst：1770)MHz,最高支持DirectX12.1,8pinx1,450W以上,22.2cm,中国大陆,最终幻想13，坦克世界，魔兽世界,其他,,,支持调速,风冷,222*126*42mm,,12Gbps,3年质保
244,七彩虹（Colorful）GTX10502G,66474715776,明灵二手电脑专营店,0.8kg,GTX1050Ti4G,,,,,,,,,,,,,,,,,,,,中国大陆,,,,,,,,,,
