,商品名称,商品编号,商品毛重,商品产地,货号,NVMe读速,容量,接口,系列,型号,品牌,顺序写入,顺序读速,闪存类型,缓存,保存温度,工作温度,产品尺寸（mm）,TBW,店铺
173,西部数据WDS960G2G0C,100021012016,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,960GB-1TB,M.2接口(NVMe协议),GreenSSD固态硬盘,WDS960G2G0C,西部数据（WesternDigital）,1900MB/s,2400MB/s,TLC,,-40oCto85oC,0oCto70oC,长80mm；宽22mm；高2.38mm,80TBW,
174,铭瑄MS256GBNM6-2280,100007590489,50.00g,中国大陆,,2000-3000MB/s,(240-256)GB,M.2接口(NVMe协议),铭瑄复仇者M.2系列,MS256GBNM6-2280,铭瑄（MAXSUN）,1200MB/s,1500MB/s,TLC,无缓存,-40℃-85℃,0℃-70℃,22*80*2.4mm,125TBW,
175,西部数据WDS960G2G0C,100021012016,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,960GB-1TB,M.2接口(NVMe协议),GreenSSD固态硬盘,WDS960G2G0C,西部数据（WesternDigital）,1900MB/s,2400MB/s,TLC,,-40oCto85oC,0oCto70oC,长80mm；宽22mm；高2.38mm,80TBW,
176,西部数据WDS250G2B0C,100010653792,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(240-256)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS250G2B0C,西部数据（WesternDigital）,950MB/s,2400MB/s,TLC,,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,150TBW,
177,爱国者P2000,100006019347,60.00g,中国大陆,,2000MB/s以下,(240-256)GB,M.2接口(NVMe协议),,P2000,爱国者,1250MB/s,1950MB/s,其他,无缓存,-40~85℃,0~70℃,80*22*2mm,128TBW,
178,威刚（ADATA)XPGS11固态台式机/笔记本SSD固态硬盘NVME协议固态S11Lite256G,48543953697,100.00g,,,,其他,M.2接口(NVMe协议),,,,,,其他,256M,-40°-85°,0°-70°,长80mm；宽22mm；高6.1mm,160TBW,方鑫数码专营店
179,金士顿（Kingston）SA400,44144127306,75.00g,中国大陆,SA400,,(240-256)GB,SATA接口,,SA400S37/240GBKCN,,,,,无缓存,-40~85°C,0~70°C,100mmx69.9mmx7mm,,
180,,,,,,,,,,,,,,,,,,,,
181,金士顿（Kingston）A400笔记本台式机固态硬盘SATA240/480/960固态硬盘SSD金士顿A400+台式机套装120G非128G,45216317226,150.00g,,,,(120-128)GB,SATA接口,A400,A400,,,,TLC,无缓存,0-70,0-70,2.5英寸,,绿速通旗舰店
182,影驰影驰铁甲战将480GBSATA3.0SSD固态硬盘,100014110682,70.00g,中国大陆,,,(480-512)GB,SATA接口,铁甲战将系列,铁甲战将480,其它,,,,无缓存,‘-40~85℃,0~70°C,100*69*6.9mm,,
183,西部数据（WD）Green系列-SSD日常家用普及版M.22280笔记本台式固态硬盘SSD240G+16G系统优盘,50169418817,500.00g,,,,(240-256)GB,M.2接口（SATA总线）,GreenSSD固态硬盘,WDS240G2G0B,西部数据（WesternDigital）,,545MB/s,SLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高1.5mm,,西部数码IT专营店
184,七彩虹SL500256GB,100001562833,85.00g,中国大陆,,,(240-256)GB,SATA接口,SATA,SL500256GB,七彩虹（Colorful）,400MB/s,480MB/s,其他,无缓存,-10~40°C,0~70°C,,80TBW,
185,西部数据（WD）Green系列-SSD日常家用普及版M.22280笔记本台式固态硬盘SSD480G+16G系统优盘,50169418819,500.00g,,,,(480-512)GB,M.2接口（SATA总线）,西部数据(WD)Green系列M.2接口,WDS480G2G0B,西部数据（WesternDigital）,,545MB/s,SLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高1.5mm,,西部数码IT专营店
186,西部数据（WD）Green绿盘SSD固态硬盘M.2接口(SATA总线)日常家用普及版｜三年质保120GB（WDS120G2G0B）,10024095401432,0.95kg,,,2000MB/s以下,(120-128)GB,M.2接口（SATA总线）,GreenSSD固态硬盘,WDS120G2G0B,西部数据（WesternDigital）,,,TLC,无缓存,-55°C至85°C,0°C至70°C,1.5mm*22mm*80mm,,奥伟电脑办公专营店
187,三星三星NVMV980proSSDMZ-V8P250BW,100015610860,80.00g,中国/韩国/泰国,MZ-V8P250BW,4500MB/s及以上,(240-256)GB,M.2接口(NVMe协议),980PRO,MZ-V8P250BW,三星(SAMSUNG),2700MB/s,6400MB/s,TLC,512M,-40~85°C,0-70℃,长80.15mm；宽22.15mm；高2.38mm,150TBW,
188,金士顿（Kingston）A400笔记本台式机固态硬盘SATA240/480/960固态硬盘SSD金士顿A400系列固态硬盘120G非128G,11657835613,150.00g,,,,(120-128)GB,SATA接口,金士顿A400系列,A400120G,,,,TLC,无缓存,0-70,0-70,2.5英寸,,绿速通旗舰店
189,三星（SAMSUNG）970EVOPlus/980PROM2固态硬盘NVMe台式机/笔记本电脑980(Pcie3.0)250G,10027517606769,60.00g,,,2000-3000MB/s,(240-256)GB,M.2接口(NVMe协议),980,MZ-V8V250BW,,1300MB/s,2900MB/s,,,-40~85°C,0-70℃,长80.15mm；宽22.15mm；高2.38mm,,存储先锋旗舰店
190,西部数据WDS500G2B0C,100005926989,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS500G2B0C,西部数据（WesternDigital）,1750MB/s,2400MB/s,TLC,,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,300TBW,
191,铠侠LRC10Z500GC8,100007080973,40.00g,中国大陆,,2000MB/s以下,(480-512)GB,M.2接口(NVMe协议),,RC10-500G,铠侠,1600MB/s,1700MB/s,TLC,512M,-40°C至85°C,0°C(Ta)至85°C(Tc),80.15x22.15x2.23mm,200TBW,
192,金士顿（Kingston）A2000系列M.2接口NVMe协议固态硬盘SSDA2000无散热片版500G,28540908001,70.00g,中国大陆,,,(480-512)GB,M.2接口(NVMe协议),A2000,A2000500G,,,,TLC,无缓存,-40°C~85°C,0°C~70°C,80mmx22mmx3.5mm,,绿速通旗舰店
193,金士顿（Kingston）A400笔记本台式机固态硬盘SATA240/480/960固态硬盘SSD金士顿A400系列固态硬盘120G非128G,11657835613,150.00g,,,,(120-128)GB,SATA接口,金士顿A400系列,A400120G,,,,TLC,无缓存,0-70,0-70,2.5英寸,,绿速通旗舰店
194,西部数据WDS500G1B0E-00B3V0,100025295798,50.00g,泰国、马来西亚、中国,,3000-4500MB/s,(480-512)GB,M.2接口(NVMe协议),WD_BLACK系列,WDS500G1B0E-00B3V0,西部数据（WesternDigital）,2000MB/s,3600MB/s,TLC,,-55oC到85oC,0oC到70oC,长80mm；宽22mm；高2.38mm,300TBW,
195,影驰影驰擎512G-M.2PCI-E2280台式机笔计本电脑SSD固态硬盘,100014110668,100.00g,中国大陆,,,(480-512)GB,M.2接口(NVMe协议),,,,,,,无缓存,-40~85℃,0-70℃,80*22*1.5mm,,
196,CrucialCT1000MX500SSD1,6164587,70.00g,中国大陆,,,960GB-1TB,SATA接口,MX500,CT1000MX500SSD1,,510MB/s,560MB/s,其他,1GB,0°C至70°C,0°C至70°C,100mm*70mm*7mm,360TBW,
197,西部数据WDS500G1B0E-00B3V0,100025295798,50.00g,泰国、马来西亚、中国,,3000-4500MB/s,(480-512)GB,M.2接口(NVMe协议),WD_BLACK系列,WDS500G1B0E-00B3V0,西部数据（WesternDigital）,2000MB/s,3600MB/s,TLC,,-55oC到85oC,0oC到70oC,长80mm；宽22mm；高2.38mm,300TBW,
198,西部数据WDS500G1B0E-00B3V0,100025295798,50.00g,泰国、马来西亚、中国,,3000-4500MB/s,(480-512)GB,M.2接口(NVMe协议),WD_BLACK系列,WDS500G1B0E-00B3V0,西部数据（WesternDigital）,2000MB/s,3600MB/s,TLC,,-55oC到85oC,0oC到70oC,长80mm；宽22mm；高2.38mm,300TBW,
199,三星MZ-V7S500B,100003181110,80.00g,中国大陆/韩国/泰国,,3000-4500MB/s,(480-512)GB,M.2接口(NVMe协议),970EVOPlus,MZ-V7S500B,三星(SAMSUNG),3200MB/s,3500MB/s,TLC,512M,-45°Cto85°C,0-70℃运行温度,长80.15mm；宽22.15mm；高2.38mm,300TBW,
200,金士顿（Kingston）A2000系列M.2接口NVMe协议固态硬盘SSDA2000无散热片版500G,28540908001,70.00g,中国大陆,,,(480-512)GB,M.2接口(NVMe协议),A2000,A2000500G,,,,TLC,无缓存,-40°C~85°C,0°C~70°C,80mmx22mmx3.5mm,,绿速通旗舰店
201,金士顿（Kingston）A400笔记本台式机固态硬盘SATA240/480/960固态硬盘SSD金士顿A400+台式机套装120G非128G,45216317226,150.00g,,,,(120-128)GB,SATA接口,A400,A400,,,,TLC,无缓存,0-70,0-70,2.5英寸,,绿速通旗舰店
202,七彩虹七彩虹SL300120GB,3135776,70.00g,中国大陆,,,(120-128)GB,SATA接口,SATA,SL300120GB,七彩虹（Colorful）,400MB/s,450MB/s,其他,无缓存,-10~70°C,0~70°C,,40TBW,
203,金士顿（Kingston）A400笔记本台式机固态硬盘SATA240/480/960固态硬盘SSD金士顿A400+台式机套装120G非128G,45216317226,150.00g,,,,(120-128)GB,SATA接口,A400,A400,,,,TLC,无缓存,0-70,0-70,2.5英寸,,绿速通旗舰店
204,十铨(Team)MP33固态硬盘Nvme协议SSDMP33512GBSSD,10034923253796,200.00g,,,2000MB/s以下,(480-512)GB,M.2接口(NVMe协议),,TM8FP6512G0C101,其它,1000MB/s,1600MB/s,TLC,256M,-40?C~85?C,0?C~70?C,80(L)x22(W)x3.8(H)m,3TBW,十铨科技旗舰店
205,金士顿（Kingston）SNVS,10029388779051,25.00g,,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),SNVS,SNVS/500G,,,,,无缓存,-40°C?85°C,0°C?70°C,不同产品参数不同，详见页面,,
206,威刚（ADATA）S11lite,10035387564720,1.0kg,中国大陆,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),S11Lite,S11Lite-512G,其它,,,TLC,无缓存,-40°C~85°C,0°C~70°C,22x80x3.7mm,,恒盛特联电脑专营店
207,金士顿（Kingston）A400笔记本台式机固态硬盘SATA240/480/960固态硬盘SSD金士顿A400+台式机套装120G非128G,45216317226,150.00g,,,,(120-128)GB,SATA接口,A400,A400,,,,TLC,无缓存,0-70,0-70,2.5英寸,,绿速通旗舰店
208,西部数据WDS500G1B0E-00B3V0,100025295798,50.00g,泰国、马来西亚、中国,,3000-4500MB/s,(480-512)GB,M.2接口(NVMe协议),WD_BLACK系列,WDS500G1B0E-00B3V0,西部数据（WesternDigital）,2000MB/s,3600MB/s,TLC,,-55oC到85oC,0oC到70oC,长80mm；宽22mm；高2.38mm,300TBW,
209,西部数据WDS500G1B0E-00B3V0,100025295798,50.00g,泰国、马来西亚、中国,,3000-4500MB/s,(480-512)GB,M.2接口(NVMe协议),WD_BLACK系列,WDS500G1B0E-00B3V0,西部数据（WesternDigital）,2000MB/s,3600MB/s,TLC,,-55oC到85oC,0oC到70oC,长80mm；宽22mm；高2.38mm,300TBW,
210,西部数据WDS500G1X0E,100009210509,40.00g,中国大陆,,4500MB/s及以上,(480-512)GB,M.2接口(NVMe协议),WD_BLACK系列,WDS500G1X0E,西部数据（WesternDigital）,4100MB/s,7000MB/s,TLC,,-55oCto85oC,0oCto70oC,长80mm；宽22mm；高2.38mm,300TBW,
211,三星三星NVMV980proSSDMZ-V8P250BW,100015610860,80.00g,中国/韩国/泰国,MZ-V8P250BW,4500MB/s及以上,(240-256)GB,M.2接口(NVMe协议),980PRO,MZ-V8P250BW,三星(SAMSUNG),2700MB/s,6400MB/s,TLC,512M,-40~85°C,0-70℃,长80.15mm；宽22.15mm；高2.38mm,150TBW,
212,三星三星NVMV980proSSDMZ-V8P250BW,100015610860,80.00g,中国/韩国/泰国,MZ-V8P250BW,4500MB/s及以上,(240-256)GB,M.2接口(NVMe协议),980PRO,MZ-V8P250BW,三星(SAMSUNG),2700MB/s,6400MB/s,TLC,512M,-40~85°C,0-70℃,长80.15mm；宽22.15mm；高2.38mm,150TBW,
213,金士顿（Kingston）A400笔记本台式机固态硬盘SATA240/480/960固态硬盘SSD金士顿A400+台式机套装120G非128G,45216317226,150.00g,,,,(120-128)GB,SATA接口,A400,A400,,,,TLC,无缓存,0-70,0-70,2.5英寸,,绿速通旗舰店
214,三星（SAMSUNG）970EVOPlus/980PROM2固态硬盘NVMe台式机/笔记本电脑970EVOPlus2TB,11120985220,60.00g,,,3000-4500MB/s,2TB及以上,M.2接口(NVMe协议),970EVOplus,MZ-V7S2T0B,,3300MB/s,3500MB/s,,,-40~85°C,0-70℃,长80.15mm；宽22.15mm；高2.38mm,,存储先锋旗舰店
215,西部数据WDS960G2G0C,100021012016,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,960GB-1TB,M.2接口(NVMe协议),GreenSSD固态硬盘,WDS960G2G0C,西部数据（WesternDigital）,1900MB/s,2400MB/s,TLC,,-40oCto85oC,0oCto70oC,长80mm；宽22mm；高2.38mm,80TBW,
216,三星（SAMSUNG）970EVOPlus/980PROM2固态硬盘NVMe台式机/笔记本电脑970EVOPlus2TB,11120985220,60.00g,,,3000-4500MB/s,2TB及以上,M.2接口(NVMe协议),970EVOplus,MZ-V7S2T0B,,3300MB/s,3500MB/s,,,-40~85°C,0-70℃,长80.15mm；宽22.15mm；高2.38mm,,存储先锋旗舰店
217,西部数据WDS500G1X0E,100009210509,40.00g,中国大陆,,4500MB/s及以上,(480-512)GB,M.2接口(NVMe协议),WD_BLACK系列,WDS500G1X0E,西部数据（WesternDigital）,4100MB/s,7000MB/s,TLC,,-55oCto85oC,0oCto70oC,长80mm；宽22mm；高2.38mm,300TBW,
218,英特尔（Intel）760P,10030698928574,100.00g,中国大陆,,3000-4500MB/s,(480-512)GB,M.2接口(NVMe协议),760P,760P,其它,1625MB/s,3230MB/s,QLC,无缓存,0°Cto70°C,0°Cto70°C,长145mm；宽115mm；高12mm,72TBW,英特尔集宇专卖店
219,三星（SAMSUNG）970EVOPlus/980PROM2固态硬盘NVMe台式机/笔记本电脑970Pro(MLC颗粒)1TB,11120985226,60.00g,,,3000-4500MB/s,960GB-1TB,M.2接口(NVMe协议),970pro,MZ-V7P1T0BW,,2700MB/s,3500MB/s,,,-40~85°C,0-70℃,长80.15mm；宽22.15mm；高2.38mm,,存储先锋旗舰店
220,西部数据WDS500G1B0E-00B3V0,100025295798,50.00g,泰国、马来西亚、中国,,3000-4500MB/s,(480-512)GB,M.2接口(NVMe协议),WD_BLACK系列,WDS500G1B0E-00B3V0,西部数据（WesternDigital）,2000MB/s,3600MB/s,TLC,,-55oC到85oC,0oC到70oC,长80mm；宽22mm；高2.38mm,300TBW,
221,三星三星NVMV980proSSDMZ-V8P500BW,100008757399,80.00g,中国/韩国/泰国,MZ-V8P500BW,4500MB/s及以上,(480-512)GB,M.2接口(NVMe协议),980PRO,MZ-V8P500BW,三星(SAMSUNG),5000MB/s,6900MB/s,TLC,512M,-40~85°C,0-70℃,长80.15mm；宽22.15mm；高2.38mm,300TBW,
222,三星（SAMSUNG）970EVOPlus/980PROM2固态硬盘NVMe台式机/笔记本电脑970EVOPlus2TB,11120985220,60.00g,,,3000-4500MB/s,2TB及以上,M.2接口(NVMe协议),970EVOplus,MZ-V7S2T0B,,3300MB/s,3500MB/s,,,-40~85°C,0-70℃,长80.15mm；宽22.15mm；高2.38mm,,存储先锋旗舰店
223,铠侠LRC10Z500GC8,100007080973,40.00g,中国大陆,,2000MB/s以下,(480-512)GB,M.2接口(NVMe协议),,RC10-500G,铠侠,1600MB/s,1700MB/s,TLC,512M,-40°C至85°C,0°C(Ta)至85°C(Tc),80.15x22.15x2.23mm,200TBW,
224,西部数据WDS500G1X0E,100009210509,40.00g,中国大陆,,4500MB/s及以上,(480-512)GB,M.2接口(NVMe协议),WD_BLACK系列,WDS500G1X0E,西部数据（WesternDigital）,4100MB/s,7000MB/s,TLC,,-55oCto85oC,0oCto70oC,长80mm；宽22mm；高2.38mm,300TBW,
225,西部数据WDS240G2G0C,100011220265,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(240-256)GB,M.2接口(NVMe协议),GreenSSD固态硬盘,WDS240G2G0C,西部数据（WesternDigital）,900MB/s,2400MB/s,TLC,,-40oCto85oC,0oCto70oC,长80mm；宽22mm；高2.38mm,40TBW,
226,铭瑄终结者,100007233863,100.00g,中国大陆,,2000MB/s以下,(120-128)GB,SATA接口,终结者系列,MS120GBX5,铭瑄（MAXSUN）,420MB/s,480MB/s,TLC,无缓存,-40°C~85°C,0°Cto70°C,100mmx69.8mmx7mm,50TBW,
227,英特尔（Intel）760P,10030698928574,100.00g,中国大陆,,3000-4500MB/s,(480-512)GB,M.2接口(NVMe协议),760P,760P,其它,1625MB/s,3230MB/s,QLC,无缓存,0°Cto70°C,0°Cto70°C,长145mm；宽115mm；高12mm,72TBW,英特尔集宇专卖店
228,西部数据WDS500G1B0E-00B3V0,100025295798,50.00g,泰国、马来西亚、中国,,3000-4500MB/s,(480-512)GB,M.2接口(NVMe协议),WD_BLACK系列,WDS500G1B0E-00B3V0,西部数据（WesternDigital）,2000MB/s,3600MB/s,TLC,,-55oC到85oC,0oC到70oC,长80mm；宽22mm；高2.38mm,300TBW,
229,西部数据WDS500G1X0E,100009210509,40.00g,中国大陆,,4500MB/s及以上,(480-512)GB,M.2接口(NVMe协议),WD_BLACK系列,WDS500G1X0E,西部数据（WesternDigital）,4100MB/s,7000MB/s,TLC,,-55oCto85oC,0oCto70oC,长80mm；宽22mm；高2.38mm,300TBW,
230,金士顿（Kingston）A400笔记本台式机固态硬盘SATA240/480/960固态硬盘SSD金士顿A400+台式机套装120G非128G,45216317226,150.00g,,,,(120-128)GB,SATA接口,A400,A400,,,,TLC,无缓存,0-70,0-70,2.5英寸,,绿速通旗舰店
231,七彩虹七彩虹SL300120GB,3135776,70.00g,中国大陆,,,(120-128)GB,SATA接口,SATA,SL300120GB,七彩虹（Colorful）,400MB/s,450MB/s,其他,无缓存,-10~70°C,0~70°C,,40TBW,
232,影驰影驰铁甲战将480GBSATA3.0SSD固态硬盘,100014110682,70.00g,中国大陆,,,(480-512)GB,SATA接口,铁甲战将系列,铁甲战将480,其它,,,,无缓存,‘-40~85℃,0~70°C,100*69*6.9mm,,
233,金士顿（Kingston）A2000系列M.2接口NVMe协议固态硬盘SSDA2000无散热片版500G,28540908001,70.00g,中国大陆,,,(480-512)GB,M.2接口(NVMe协议),A2000,A2000500G,,,,TLC,无缓存,-40°C~85°C,0°C~70°C,80mmx22mmx3.5mm,,绿速通旗舰店
234,三星三星NVMV980proSSDMZ-V8P250BW,100015610860,80.00g,中国/韩国/泰国,MZ-V8P250BW,4500MB/s及以上,(240-256)GB,M.2接口(NVMe协议),980PRO,MZ-V8P250BW,三星(SAMSUNG),2700MB/s,6400MB/s,TLC,512M,-40~85°C,0-70℃,长80.15mm；宽22.15mm；高2.38mm,150TBW,
235,三星MZ-N6E500BW,6435565,75.00g,中国大陆/韩国/泰国,,,(480-512)GB,M.2接口（SATA总线）,860EVO系列,MZ-N6E500BW,三星(SAMSUNG),520MB/s,550MB/s,TLC,512M,-45°Cto85°C,0-70℃,长80.15mm；宽22.15mm；高2.38mm,300TBW,
236,西部数据WDS100T2B0C,100005926991,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,960GB-1TB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS100T2B0C,西部数据（WesternDigital）,1950MB/s,2400MB/s,TLC,,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,600TBW,
237,金士顿SKC2500M8/1000GBKCN,100018606186,30.00g,中国大陆，中国台湾,,,960GB-1TB,M.2接口(NVMe协议),KC2500系列,SKC2500M8/1000GBKCN或SKC2500M8/1000G或SKC2500M8/1000GBKCN-L,金士顿,2900MB/s,3500MB/s,TLC,无缓存,-40°C~85°C,0°C~70°C,80mmx22mmx3.5mm,600TBW,
238,西部数据WDS500G1B0E-00B3V0,100025295798,50.00g,泰国、马来西亚、中国,,3000-4500MB/s,(480-512)GB,M.2接口(NVMe协议),WD_BLACK系列,WDS500G1B0E-00B3V0,西部数据（WesternDigital）,2000MB/s,3600MB/s,TLC,,-55oC到85oC,0oC到70oC,长80mm；宽22mm；高2.38mm,300TBW,
239,三星（SAMSUNG）970EVO/PRO/980m2固态硬盘M.2(NVMe协议)台式机笔记本970EVOPlus1TB,67386057386,200.00g,,,3000-4500MB/s,960GB-1TB,M.2接口(NVMe协议),970EVOPLUS,MZ-V7S1T0BW,,3300MB/s,3500MB/s,,,-40~85°C,0°Cto70°C,长80.15mm；宽22.15mm；高2.38mm,,存储先锋旗舰店
240,三星（SAMSUNG）970EVO/PRO/980m2固态硬盘M.2(NVMe协议)台式机笔记本980250G,10027526838782,200.00g,,,2000-3000MB/s,(240-256)GB,M.2接口(NVMe协议),980,MZ-V8V250BW,,1300MB/s,2900MB/s,,,-40~85°C,0°Cto70°C,长80.15mm；宽22.15mm；高2.38mm,,存储先锋旗舰店
241,金士顿（Kingston）A2000系列M.2接口NVMe协议固态硬盘SSDA2000无散热片版1T,28540908002,70.00g,中国大陆,,,960GB-1TB,M.2接口(NVMe协议),A2000,A20001T,,,,TLC,无缓存,-40°C~85°C,0°C~70°C,80mmx22mmx3.5mm,,绿速通旗舰店
242,金士顿（Kingston）A400笔记本台式机固态硬盘SATA240/480/960固态硬盘SSD金士顿A400+台式机套装120G非128G,45216317226,150.00g,,,,(120-128)GB,SATA接口,A400,A400,,,,TLC,无缓存,0-70,0-70,2.5英寸,,绿速通旗舰店
243,金士顿（Kingston）A2000系列M.2接口NVMe协议固态硬盘SSDA2000无散热片版500G,28540908001,70.00g,中国大陆,,,(480-512)GB,M.2接口(NVMe协议),A2000,A2000500G,,,,TLC,无缓存,-40°C~85°C,0°C~70°C,80mmx22mmx3.5mm,,绿速通旗舰店
244,西部数据（WD）Green系列-SSD日常家用普及版M.22280笔记本台式固态硬盘SSD240G+16G系统优盘,50169418817,500.00g,,,,(240-256)GB,M.2接口（SATA总线）,GreenSSD固态硬盘,WDS240G2G0B,西部数据（WesternDigital）,,545MB/s,SLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高1.5mm,,西部数码IT专营店
245,金士顿（Kingston）A400笔记本台式机固态硬盘SATA240/480/960固态硬盘SSD金士顿A400+台式机套装120G非128G,45216317226,150.00g,,,,(120-128)GB,SATA接口,A400,A400,,,,TLC,无缓存,0-70,0-70,2.5英寸,,绿速通旗舰店
246,,100019164520,,,,,,,,,,,,,,,,,,
247,金士顿（Kingston）A400笔记本台式机固态硬盘SATA240/480/960固态硬盘SSD金士顿A400+台式机套装120G非128G,45216317226,150.00g,,,,(120-128)GB,SATA接口,A400,A400,,,,TLC,无缓存,0-70,0-70,2.5英寸,,绿速通旗舰店
248,十铨(Team)MP33固态硬盘Nvme协议SSDMP33512GBSSD,10034923253796,200.00g,,,2000MB/s以下,(480-512)GB,M.2接口(NVMe协议),,TM8FP6512G0C101,其它,1000MB/s,1600MB/s,TLC,256M,-40?C~85?C,0?C~70?C,80(L)x22(W)x3.8(H)m,3TBW,十铨科技旗舰店
249,金士顿SNVS/500G,100010909481,25.00g,中国,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),NV1系列,SNVS/500G或SNVS/500GBKCN,其它,1700MB/s,2100MB/s,其他,无缓存,-40°C?85°C,0°C?70°C,80mm×22mm×2.1mm,120TBW,
250,西部数据WDS500G2B0C,100005926989,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS500G2B0C,西部数据（WesternDigital）,1750MB/s,2400MB/s,TLC,,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,300TBW,
251,西部数据WDS240G2G0C,100011220265,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(240-256)GB,M.2接口(NVMe协议),GreenSSD固态硬盘,WDS240G2G0C,西部数据（WesternDigital）,900MB/s,2400MB/s,TLC,,-40oCto85oC,0oCto70oC,长80mm；宽22mm；高2.38mm,40TBW,
252,西部数据WDS250G2B0C,100010653792,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(240-256)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS250G2B0C,西部数据（WesternDigital）,950MB/s,2400MB/s,TLC,,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,150TBW,
253,CrucialCT1000MX500SSD1,6164587,70.00g,中国大陆,,,960GB-1TB,SATA接口,MX500,CT1000MX500SSD1,,510MB/s,560MB/s,其他,1GB,0°C至70°C,0°C至70°C,100mm*70mm*7mm,360TBW,
254,三星三星NVMV980proSSDMZ-V8P250BW,100015610860,80.00g,中国/韩国/泰国,MZ-V8P250BW,4500MB/s及以上,(240-256)GB,M.2接口(NVMe协议),980PRO,MZ-V8P250BW,三星(SAMSUNG),2700MB/s,6400MB/s,TLC,512M,-40~85°C,0-70℃,长80.15mm；宽22.15mm；高2.38mm,150TBW,
255,三星MZ-V7S500B,100003181110,80.00g,中国大陆/韩国/泰国,,3000-4500MB/s,(480-512)GB,M.2接口(NVMe协议),970EVOPlus,MZ-V7S500B,三星(SAMSUNG),3200MB/s,3500MB/s,TLC,512M,-45°Cto85°C,0-70℃运行温度,长80.15mm；宽22.15mm；高2.38mm,300TBW,
256,西部数据WDS500G2B0C,100005926989,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS500G2B0C,西部数据（WesternDigital）,1750MB/s,2400MB/s,TLC,,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,300TBW,
257,阿斯加特(Asgard)AN2系列250GM.2接口(NVMe协议)SSD固态硬盘,37755589326,100.00g,,,,(240-256)GB,M.2接口(NVMe协议),,,阿斯加特（Asgard）,,,TLC,无缓存,-40°C-85°C,0°C-70°C,80mm*22mm*2mm,,PC-home存储专营店
258,,,,,,,,,,,,,,,,,,,,
259,三星三星NVMV980proSSDMZ-V8P500BW,100008757399,80.00g,中国/韩国/泰国,MZ-V8P500BW,4500MB/s及以上,(480-512)GB,M.2接口(NVMe协议),980PRO,MZ-V8P500BW,三星(SAMSUNG),5000MB/s,6900MB/s,TLC,512M,-40~85°C,0-70℃,长80.15mm；宽22.15mm；高2.38mm,300TBW,
260,三星（SAMSUNG）970EVO/PRO/980m2固态硬盘M.2(NVMe协议)台式机笔记本970EVOPlus1TB,67386057386,200.00g,,,3000-4500MB/s,960GB-1TB,M.2接口(NVMe协议),970EVOPLUS,MZ-V7S1T0BW,,3300MB/s,3500MB/s,,,-40~85°C,0°Cto70°C,长80.15mm；宽22.15mm；高2.38mm,,存储先锋旗舰店
261,三星三星NVMV980proSSDMZ-V8P500BW,100008757399,80.00g,中国/韩国/泰国,MZ-V8P500BW,4500MB/s及以上,(480-512)GB,M.2接口(NVMe协议),980PRO,MZ-V8P500BW,三星(SAMSUNG),5000MB/s,6900MB/s,TLC,512M,-40~85°C,0-70℃,长80.15mm；宽22.15mm；高2.38mm,300TBW,
262,三星三星NVMV980proSSDMZ-V8P250BW,100015610860,80.00g,中国/韩国/泰国,MZ-V8P250BW,4500MB/s及以上,(240-256)GB,M.2接口(NVMe协议),980PRO,MZ-V8P250BW,三星(SAMSUNG),2700MB/s,6400MB/s,TLC,512M,-40~85°C,0-70℃,长80.15mm；宽22.15mm；高2.38mm,150TBW,
